"A-Bay" Pale Ale	Pale Wheat Ale - American
"PYRO" American Pale Ale	Pale Ale - American
"Really Good Friends"	Farmhouse Ale - Saison
#10 Double IPA	IPA - Imperial / Double
#1³ Berliner Weisse	Sour - Berliner Weisse
#1¹ Hefeweizen	Hefeweizen
#1⁴ Plum Berliner Weisse	Sour - Berliner Weisse
#2 Amber Ale	Red Ale - American Amber / Red
#3 Porter	Porter - English
#5 - Gose	Sour - Gose
#6¹ Grapefruit Pale Ale	Pale Ale - Australian
#7 IPA	IPA - American
#7² New England IPA	IPA - New England
#7¹ White IPA	IPA - White
#8 Foreign Exchange Stout	Stout - Foreign / Export
#8¹ Breakfast Stout	Stout - Imperial / Double Oatmeal
#9	Pale Ale - American
#Adulting	IPA - American
#CASK Russian Doll Pale Ale	Pale Ale - American
#EXP0067	Stout - Other
#EXP0069	Stout - Imperial / Double
#GatineauIsTrending	IPA - Triple
#MashTag 2015	Barleywine - English
#Ti-Ouisson	American Wild Ale
#suchtaste	IPA - American
& Flanders Red	Sour - Flanders Red Ale
& Oud Bruin	Sour - Flanders Oud Bruin
(512) Pecan Porter	Porter - American
(Who Shot) Liberty Valance	Golden Ale
(in Stark Violation Of) the Hays Code	IPA - Black / Cascadian Dark Ale
*Red	Red Ale - Irish
+ Golden Ale	Belgian Blonde
...Like Clockwork	IPA - Imperial / Double New England
02 Castiga Matt	IPA - Black / Cascadian Dark Ale
03|Porter - Rum Punch	Porter - Other
077XX	IPA - Imperial / Double
08 Kölsch Style	Kölsch
10 Apple Stout	Stout - Imperial / Double
10 Cent Beer Night	IPA - Imperial / Double New England
10 Pound Torpedo	IPA - Imperial / Double
100 Ft. North (Blend #4)	Farmhouse Ale - Saison
100 Series IPA	IPA - American
100 Souvenirs	Malt Beer
100 Tonnes	IPA - American
1000 IPA	IPA - Imperial / Double
100W	IPA - American
100m	IPA - Imperial / Double New England
100th Meridian Organic Amber Lager	Lager - American Amber / Red
101 California Pale Ale	Pale Ale - American
108 Double Stitch Ale	Golden Ale
108 Mics	IPA - Imperial / Double
10:45 To Denver	IPA - American
10FT & Rising	IPA - Imperial / Double New England
10e	Farmhouse Ale - Saison
10e Avenue	Belgian Quadrupel
10ieme Avenue	Belgian Quadrupel
10th Anniversary, Assemblage #1	Other
10x Cordes De 4'	IPA - American
10° Brut Lager	Lager - Pale
11 Ležák	Pilsner - Czech
12	Hefeweizen
12 Le Nombre Sublime	Sour - Other
12 Mile India Pale Lager	Lager - IPL (India Pale Lager)
12 Minutes To Destiny	Fruit Beer
12 Star Session Ale	Pale Ale - American
120 Minute IPA	IPA - Imperial / Double
120 Minute IPA (2016)	IPA - Imperial / Double
12th of Never Ale	Pale Ale - American
13 Polotmavé	Lager - Vienna
